Student_ID	Age	Gender	Academic_Level	Country	Avg_Daily_Usage_Hours	Most_Used_Platform	Affects_Academic_Performance	Sleep_Hours_Per_Night	Mental_Health_Score	Relationship_Status	Conflicts_Over_Social_Media	Addicted_Score
23	19	Male	Undergraduate	Austria	4.9	Instagram	Yes	5.8	6	Complicated	3	7
35	19	Male	Undergraduate	Hong Kong	4.7	Instagram	Yes	5.8	6	In Relationship	3	7
47	19	Male	Undergraduate	Colombia	4.8	Instagram	Yes	5.9	6	In Relationship	3	7
59	19	Male	Undergraduate	Iceland	4.6	Instagram	Yes	5.9	6	Complicated	3	7
66	21	Female	Undergraduate	Croatia	4.8	Instagram	Yes	5.8	6	Single	3	7
70	20	Female	Undergraduate	Estonia	4.5	Instagram	Yes	5.9	6	Complicated	3	7
86	21	Female	Undergraduate	Monaco	4.5	Instagram	Yes	5.8	6	Complicated	3	7
99	20	Male	Undergraduate	Oman	4.6	Instagram	Yes	5.9	6	Single	3	7
110	19	Female	Undergraduate	Maldives	4.9	Instagram	Yes	5.8	6	Single	3	7
118	20	Female	Undergraduate	India	5.7	Instagram	Yes	6.1	6	Single	3	7
124	22	Female	Graduate	India	5.8	Instagram	Yes	5.8	6	In Relationship	3	7
130	21	Female	Graduate	India	5.6	Instagram	Yes	5.6	6	In Relationship	3	7
136	20	Female	Undergraduate	India	5.4	Instagram	Yes	5.4	6	In Relationship	3	7
142	21	Female	Graduate	India	5.2	Instagram	Yes	5.2	6	In Relationship	3	7
148	20	Female	Undergraduate	India	5	Instagram	Yes	5	6	In Relationship	3	7
154	21	Female	Graduate	India	4.8	Instagram	Yes	4.8	6	In Relationship	3	7
160	20	Female	Undergraduate	India	4.6	Instagram	Yes	4.6	6	In Relationship	3	7
226	21	Male	Graduate	Italy	5.5	Instagram	Yes	6.8	6	Single	3	7
230	21	Male	Graduate	UK	5.5	Instagram	Yes	6.7	6	Single	3	7
246	21	Male	Graduate	UK	5.7	Instagram	Yes	6.4	6	Single	3	7
262	21	Male	Graduate	UK	5.3	Instagram	Yes	6.3	6	Single	3	7
278	21	Male	Graduate	UK	5.1	Instagram	Yes	6.5	6	Single	3	7
294	21	Male	Graduate	UK	4.9	Instagram	Yes	6.7	6	Single	3	7
310	21	Male	Graduate	UK	4.7	Instagram	Yes	6.9	6	Single	3	7
321	19	Female	Undergraduate	Spain	5.2	Instagram	Yes	6.8	6	Single	3	7
326	21	Male	Graduate	Turkey	5.5	Instagram	Yes	6.7	6	Single	3	7
330	21	Male	Graduate	Canada	5.3	Instagram	Yes	6.9	6	Single	3	7
341	19	Female	Undergraduate	Spain	5	Instagram	Yes	6.9	6	Single	3	7
346	21	Male	Graduate	Turkey	5.3	Instagram	Yes	6.9	6	Single	3	7
350	21	Male	Graduate	Canada	5.1	Instagram	Yes	7.1	6	Single	3	7
361	19	Female	Undergraduate	Spain	4.8	Instagram	Yes	7.1	6	Single	3	7
366	21	Male	Graduate	Turkey	5.1	Instagram	Yes	7.1	6	Single	3	7
370	21	Male	Graduate	Canada	4.9	Instagram	Yes	7.3	6	Single	3	7
381	19	Female	Undergraduate	Spain	4.6	Instagram	Yes	7.3	6	Single	3	7
386	21	Male	Graduate	Turkey	4.9	Instagram	Yes	7.3	6	Single	3	7
390	21	Male	Graduate	Canada	4.7	Instagram	Yes	7.5	6	Single	3	7
401	19	Female	Undergraduate	Spain	4.4	Instagram	Yes	7.5	6	Single	3	7
406	21	Male	Graduate	Turkey	4.7	Instagram	Yes	7.5	6	Single	3	7
410	21	Male	Graduate	Canada	4.5	Instagram	Yes	7.7	6	Single	3	7
421	19	Female	Undergraduate	Spain	4.2	Instagram	Yes	7.7	6	Single	3	7
426	21	Male	Graduate	Turkey	4.5	Instagram	Yes	7.7	6	Single	3	7
430	21	Male	Graduate	Canada	4.3	Instagram	Yes	7.9	6	Single	3	7
441	19	Female	Undergraduate	Spain	4	Instagram	Yes	7.9	6	Single	3	7
446	21	Male	Graduate	Turkey	4.3	Instagram	Yes	7.9	6	Single	3	7
450	21	Male	Graduate	Canada	4.1	Instagram	Yes	8.1	6	Single	3	7
461	19	Female	Undergraduate	Spain	3.8	Instagram	Yes	8.1	6	Single	3	7
